Name;Relatiecode
L - REYCKMANS I;G303
IMMO TOP INVEST BVBA;000009
JAN STAS IMMOBILI�N BVBA;000011
Gerlachestraat 12;000087
B&R Construct NV;000100
Claire;000108
Dahlia;000109
Vereniging van mede-eigenaars van de Residentie Brannekes te 2230 Herselt, Blaubergsesteenweg 11-13;000112
Jack;0000114
De Blijde;000134
VME - Vogelensanck te Leuven (Kessel-Lo), Koning Albertlaan 72/76;000142
VME Residentie Binnenhof Uitbreiding te Leuven, Justus Lipsiusstraat 36/40 voorheen 22/26;000143
Consortium;000147
Vereniging van Mede-eigenaars Residentie Consortium te 3500 Hasselt, Kunstlaan 8;000147
Helstraat 4-;H073
Chopin;000149
TILLINVEST;000150
Vereniging van mede-eigenaars van het gebouw Residentie Park-Lane te 3020 Herent, Mechelsesteenweg 374-380;000151
*E* - REGENT;R317
*E* - SOLLEVELDEN 65 - 67;R310
Bert Schoofs Advocaat;000177
Vereniging van Mede-eigenaars Residentie Jef Denijn;000184
Daelhof;000192
CALLANT VERZEKERINGEN KEMPEN NV;000193
Hendrickx Leo;000194
QALIBRATE BVBA;000196
Moto Geel;000197
VDV BVBA;000198
VME Residentie MI CASA te Herent, Mechelsesteenweg 550;000200
Oudebaan;000201
Heylen Bouwonderneming BVBA;000204
Luts Ivo;000205
Laenen Niels;000206
MATEXI PROJECTS NV;000207
Stefanie Anthonis;000208
Wijkmolen (000509);000209
Parkeergarage De Smisse;000211
De Pastorij Hulst (000132);000212
Aan de Kerk Fase I (000012);D001
Aan de Kerk Parkings (000013);D002
Aan de Markt (000014);D003
Aleidis (000021);D004
Allerheiligenberg 3 (000022);D005
Atrium (000035);D006
Bartham (000038);D007
Begijnenstraat 44 (000041);D008
Bevrijdingsstraat 35 (000047);D009
Binnenhof (000048);D010
Brabantshof (000060);D011
Canterbury (000066);D012
Daan (000084);D013
De Beek (000089);D014
De Beuk (Ham) (000090);D015
De Biest (000091);D016
De Bleek fase 1 (000093);D017
De Bleek fase 2 (000094);D018
De Bleek fase 3 (000095);D019
De Eest (000107);D020
Anemoon (000027);D021
De Keyzer (000115);D022
De Loften (000123);D023
De Mouterij (000127);D024
Demertoren;D025
VERENIGING VAN MEDE-EIGENAARS RESIDENTIE DEMERTOREN TE 3290 DIEST, LOOIERIJSTRAAT 2-4;D025
Demerhof;D026
Demerhof (000158);D026
Demerpoort;D027
Residentie Demerpoort;D027
Eersels 127-129 (000182);D028
Eersels 143-145 (000183);D029
Iris (000247);D030
Engsbergen (000192);D031
Franklin (000202);D032
Gulden Kruis (000215);D033
Het Cerckel (000234);D034
Parkresidentie (000369);D035
Kranenburgstraat (000282);D038
La Patrie (000286);D039
Leopoldvest (000299);D040
Loranne (000306);D041
Nieuwe Demer (000341);D042
Orange (000352);D043
Oranjestraat (000353);D044
Jubil� (000252);D045
Oude Koffiebranderij (JAVA) (000355);D046
Panoven (000363);D047
Parelsberg (000365);D048
Delle Heide (000157);D050
Koninkshoek (000279);D051
Solferino A-B (000424);D052
Sport en Park (000431);D053
Statiehof (000434);D054
Statiestraat 15 � 17 (000435);D055
Statiestraat 15 - 17 (000435);D055
Stationsstraat-Eersels (000436);D056
Stationsstraat - Eersels (000436);D056
Sint-Jan I (Diest) (000418);D057
t Bergske (000442);D058
t Dorp (Markt 1) (000443);D059
t Kroontje, Beverlo (000444);D060
't Schereyn (000009);D061
Ter Eekt (000448);D062
Ter Eekt - Aleidis (parkings) (000449);D063
Valleilaan 79 (000465);D064
Demerpatio (000844);D065
Wederbroek (000506);D066
Solferino II (000425);D067
Commissaris Neyskenslaan (000079);D068
Eikelenberg (000184);D069
De Fontein (000108);D070
Magister (000314);D071
Stationsstraat 50 (000437);D072
